Phase;Total elapsed time (s);Phase elapsed time (s);Vehicle speed (km/h);Acceleration (m/s²);Acceleration (km/h/s)
Low;0;0;0;0;0
Low;1;1;0;0;0
Low;2;2;0;0;0
Low;3;3;0;0;0
Low;4;4;0;0;0
Low;5;5;0;0;0
Low;6;6;0;0;0
Low;7;7;0;0;0
Low;8;8;0;0;0
Low;9;9;0;0;0
Low;10;10;0;0;0
Low;11;11;0;0,03;0,1
Low;12;12;0,2;0,24;0,85
Low;13;13;1,7;0,72;2,6
Low;14;14;5,4;1,14;4,1
Low;15;15;9,9;1,07;3,85
Low;16;16;13,1;0,97;3,5
Low;17;17;16,9;1,19;4,3
Low;18;18;21,7;1,26;4,55
Low;19;19;26;0,81;2,9
Low;20;20;27,5;0,29;1,05
Low;21;21;28,1;0,11;0,4
Low;22;22;28,3;0,1;0,35
Low;23;23;28,8;0,11;0,4
Low;24;24;29,1;0,28;1
Low;25;25;30,8;0,39;1,4
Low;26;26;31,9;0,46;1,65
Low;27;27;34,1;0,65;2,35
Low;28;28;36,6;0,69;2,5
Low;29;29;39,1;0,65;2,35
Low;30;30;41,3;0,47;1,7
Low;31;31;42,5;0,28;1
