Phase;Total elapsed time (s);Phase elapsed time (s);Vehicle speed (km/h);Acceleration (m/s²);Acceleration (km/h/s);Gradient (%);Height (m)
Low;0;0;0;0;0;0;0
Low;1;1;0;0;0;0,045404692;0,004540469
Low;2;2;0;0;0;0,090802546;0,013620724
Low;3;3;0;0;0;0,136186725;0,027239396
Low;4;4;0;0;0;0,181550395;0,045394436
Low;5;5;0;0;0;0,226886724;0,068083108
Low;6;6;0;0;0;0,272188885;0,095301997
Low;7;7;0;0;0;0,317450056;0,127047002
Low;8;8;0;0;0;0,362663419;0,163313344
Low;9;9;0;0;0;0,407822167;0,204095561
Low;10;10;0;0;0;0,452919498;0,249387511
Low;11;11;0;0,03;0,1;0,497948621;0,299182373
Low;12;12;0,2;0,24;0,85;0,542902755;0,353472648
Low;13;13;1,7;0,72;2,6;0,58777513;0,412250161
Low;14;14;5,4;1,14;4,1;0,632558988;0,47550606
Low;15;15;9,9;1,07;3,85;0,677247585;0,543230819
Low;16;16;13,1;0,97;3,5;0,721834191;0,615414238
Low;17;17;16,9;1,19;4,3;0,766312092;0,692045447
Low;18;18;21,7;1,26;4,55;0,810674589;0,773112906
Low;19;19;26;0,81;2,9;0,854915001;0,858604406
Low;20;20;27,5;0,29;1,05;0,899026666;0,948507073
Low;21;21;28,1;0,11;0,4;0,943002941;1,042807367
Low;22;22;28,3;0,1;0,35;0,986837203;1,141491087
Low;23;23;28,8;0,11;0,4;1,030522851;1,244543372
Low;24;24;29,1;0,28;1;1,074053306;1,351948703
Low;25;25;30,8;0,39;1,4;1,117422012;1,463690904
Low;26;26;31,9;0,46;1,65;1,160622439;1,579753148
Low;27;27;34,1;0,65;2,35;1,203648081;1,700117956
Low;28;28;36,6;0,69;2,5;1,246492458;1,824767202
Low;29;29;39,1;0,65;2,35;1,289149117;1,953682113
Low;30;30;41,3;0,47;1,7;1,331611635;2,086843277
Low;31;31;42,5;0,28;1;1,373873618;2,224230639
Low;32;32;43,3;0,19;0,7;1,4159287;2,365823509
Low;33;33;43,9;0,15;0,55;1,457770548;2,511600563
Low;34;34;44,4;0,08;0,3;1,499392862;2,66153985
Low;35;35;44,5;-0,03;-0,1;1,540789372;2,815618787
Low;36;36;44,2;-0,25;-0,9;1,581953846;2,973814171
Low;37;37;42,7;-0,6;-2,15;1,622880083;3,13610218
Low;38;38;39,9;-0,79;-2,85;1,66356192;3,302458372
Low;39;39;37;-0,74;-2,65;1,703993231;3,472857695
Low;40;40;34,6;-0,65;-2,35;1,744167926;3,647274487
Low;41;41;32,3;-0,78;-2,8;1,784079957;3,825682483
Low;42;42;29;-1;-3,6;1,823723311;4,008054814
Low;43;43;25,1;-0,94;-3,4;1,86309202;4,194364016
Low;44;44;22,2;-0,58;-2,1;1,902180154;4,384582031
Low;45;45;20,9;-0,25;-0,9;1,940981826;4,578680214
Low;46;46;20,4;-0,19;-0,7;1,979491194;4,776629333
Low;47;47;19,5;-0,28;-1;2,017702457;4,978399579
Low;48;48;18,4;-0,24;-0,85;2,055609862;5,183960565
Low;49;49;17,8;-0,08;-0,3;2,0932077;5,393281335
Low;50;50;17,8;-0,06;-0,2;2,130490308;5,606330366
Low;51;51;17,4;-0,29;-1,05;2,167452073;5,823075573
Low;52;52;15,7;-0,6;-2,15;2,204087427;6,043484316
Low;53;53;13,1;-0,5;-1,8;2,240390853;6,267523401
Low;54;54;12,1;-0,15;-0,55;2,276356885;6,49515909
Low;55;55;12;-0,01;-0,05;2,311980106;6,726357101
Low;56;56;12;0;0;2,347255151;6,961082616
Low;57;57;12;0,04;0,15;2,382176709;7,199300287
Low;58;58;12,3;0,08;0,3;2,416739519;7,440974238
Low;59;59;12,6;0,33;1,2;2,450938377;7,686068076
Low;60;60;14,7;0,38;1,35;2,484768133;7,934544889
Low;61;61;15,3;0,17;0,6;2,518223692;8,186367259
Low;62;62;15,9;0,13;0,45;2,551300016;8,44149726
Low;63;63;16,2;0,17;0,6;2,583992123;8,699896472
Low;64;64;17,1;0,22;0,8;2,61629509;8,961525981
Low;65;65;17,8;0,14;0,5;2,648204054;9,226346387
Low;66;66;18,1;0,08;0,3;2,679714207;9,494317808
Low;67;67;18,4;0,31;1,1;2,710820805;9,765399888
Low;68;68;20,3;0,67;2,4;2,741519164;10,0395518
Low;69;69;23,2;0,86;3,1;2,77180466;10,31673227
Low;70;70;26,5;0,92;3,3;2,801672732;10,59689954
Low;71;71;29,8;0,85;3,05;2,831118883;10,88001143
Low;72;72;32,6;0,64;2,3;2,860138677;11,1660253
Low;73;73;34,4;0,4;1,45;2,888727746;11,45489807
Low;74;74;35,5;0,28;1;2,916881782;11,74658625
Low;75;75;36,4;0,26;0,95;2,944596547;12,04104591
Low;76;76;37,4;0,29;1,05;2,971867866;12,33823269
Low;77;77;38,5;0,26;0,95;2,998691634;12,63810186
Low;78;78;39,3;0,14;0,5;3,025063809;12,94060824
Low;79;79;39,5;-0,04;-0,15;3,05098042;13,24570628
Low;80;80;39;-0,14;-0,5;3,076437566;13,55335004
Low;81;81;38,5;-0,24;-0,85;3,101431411;13,86349318
Low;82;82;37,3;-0,21;-0,75;3,125958191;14,176089
Low;83;83;37;-0,08;-0,3;3,150014214;14,49109042
Low;84;84;36,7;-0,15;-0,55;3,173595857;14,80845
Low;85;85;35,9;-0,19;-0,7;3,196699568;15,12811996
Low;86;86;35,3;-0,18;-0,65;3,219321867;15,45005215
Low;87;87;34,6;-0,15;-0,55;3,241459349;15,77419808
Low;88;88;34,2;-0,38;-1,35;3,263108678;16,10050895
Low;89;89;31,9;-0,96;-3,45;3,284266595;16,42893561
Low;90;90;27,3;-1,38;-4,95;3,304929914;16,7594286
Low;91;91;22;-1,43;-5,15;3,325095523;17,09193815
Low;92;92;17;-1,08;-3,9;3,344760385;17,42641419
Low;93;93;14,2;-0,69;-2,5;3,363921537;17,76280635
Low;94;94;12;-0,71;-2,55;3,382576096;18,10106396
Low;95;95;9,1;-0,86;-3,1;3,400721251;18,44113608
Low;96;96;5,8;-0,76;-2,75;3,41835427;18,78297151
